iter	RMSE
0	2.320863269
1	2.25631449
2	2.193638643
3	2.132741732
4	2.073669122
5	2.016687919
6	1.960845422
7	1.907084857
8	1.855094967
9	1.804747511
10	1.755943918
11	1.708461348
12	1.662259794
13	1.617461786
14	1.574253589
15	1.532313929
16	1.491862707
17	1.452964413
18	1.415283193
19	1.378457919
20	1.34271293
21	1.308201581
22	1.275115136
23	1.242815905
24	1.211777311
25	1.181600401
26	1.152383392
27	1.12437688
28	1.096950388
29	1.07064061
30	1.045368842
31	1.020741405
32	0.9969850549
33	0.9740488792
34	0.9521081134
35	0.9307661258
36	0.9099202289
37	0.8901663044
38	0.8710623749
39	0.8524620581
40	0.8348047075
41	0.8174935827
42	0.8010435765
43	0.7851289075
44	0.7698612157
45	0.7549818093
46	0.7407635216
47	0.7270140703
48	0.7137790012
49	0.7013934345
50	0.6893688787
51	0.6778013745
52	0.6665898104
53	0.6557324087
54	0.6453620506
55	0.6355493367
56	0.6260755302
57	0.6169640213
58	0.6083769191
59	0.6000293319
60	0.5918468991
61	0.5842856272
62	0.5769236709
63	0.5699137085
64	0.5632959718
65	0.5568183421
66	0.5506212373
67	0.5447721327
68	0.5391361473
69	0.5338152349
70	0.5286835077
71	0.5237922781
72	0.5191581263
73	0.5146719848
74	0.5104338643
75	0.5063933941
76	0.502427325
77	0.4985962309
78	0.4950411685
79	0.491652402
80	0.4884499668
81	0.4853585817
82	0.4824643416
83	0.4797786853
84	0.477094773
85	0.474522774
86	0.4720994131
87	0.469707629
88	0.4674904074
89	0.465410441
90	0.4634103062
91	0.4614254169
92	0.459616907
93	0.457801792
94	0.4561048902
95	0.4545734693
96	0.4530085437
97	0.4514835602
98	0.450146914
99	0.4488167714
100	0.447500551
101	0.4463751107
102	0.4451470877
103	0.4439090746
104	0.4428021279
105	0.4416904838
106	0.4406908016
107	0.4397522909
108	0.4387505672
109	0.4379262319
110	0.4370544166
111	0.4363040383
112	0.4354904304
113	0.434637223
114	0.43393829
115	0.4331636793
116	0.4325250207
117	0.4318235835
118	0.4312187154
119	0.4304825676
120	0.4299706454
121	0.4293019954
122	0.4287759671
123	0.428256111
124	0.4277797185
125	0.4271607585
126	0.4267108811
127	0.426284128
128	0.4257539416
129	0.4253077423
130	0.4248913535
131	0.4245258706
132	0.4240793583
133	0.4235917919
134	0.4232247016
135	0.4228747437
136	0.4224262457
137	0.4220203555
138	0.421735388
139	0.4213327159
140	0.420937509
141	0.4205654484
142	0.4202097392
143	0.419822499
144	0.4194706433
145	0.4190725575
146	0.4187345172
147	0.4184387615
148	0.4181220962
149	0.4178515561
150	0.4176356449
151	0.4172336998
152	0.4169647476
153	0.4166490946
154	0.4163773206
155	0.4160800358
156	0.4157644531
157	0.4153247101
158	0.4149941896
159	0.4146334503
160	0.4142799846
161	0.4139848819
162	0.4137298025
163	0.4135324828
164	0.4131893326
165	0.4129385045
166	0.4127351559
167	0.4123655917
168	0.4121028641
169	0.4118082201
170	0.4115413472
171	0.4112175861
172	0.4109404791
173	0.4106882987
174	0.4103775212
175	0.410205372
176	0.4099405092
177	0.4097579304
178	0.4095282981
179	0.4092991506
180	0.4090961212
181	0.4089171189
182	0.408734043
183	0.4085791508
184	0.4083899147
185	0.4080655697
186	0.407907811
187	0.4076756373
188	0.4074690568
189	0.4072812741
190	0.4071139838
191	0.4068300095
192	0.4065815077
193	0.4063886756
194	0.406108008
195	0.4058515395
196	0.4057368344
197	0.4055488525
198	0.4053688186
199	0.4051558526
200	0.4049183666
201	0.4046685213
202	0.4044920773
203	0.4042589327
204	0.4040194302
205	0.4038858193
206	0.4036706377
207	0.4034351582
208	0.4033212643
209	0.4031447966
210	0.4029623302
211	0.4028065275
212	0.4026247269
213	0.4025416826
214	0.4022942996
215	0.4021392144
216	0.4019383947
217	0.4017148541
218	0.4015154972
219	0.4013778732
220	0.4011847738
221	0.4009982223
222	0.400800388
223	0.4006137211
224	0.4004791347
225	0.4002686004
226	0.4000741141
227	0.3998850477
228	0.3997344631
229	0.399554763
230	0.3994652552
231	0.3992676624
232	0.3991126301
233	0.3988938832
234	0.3987884239
235	0.3985965816
236	0.3983980904
237	0.3981578532
238	0.3979606449
239	0.3977724828
240	0.3975086815
241	0.3974172753
242	0.3972450714
243	0.3971275166
244	0.3969715824
245	0.3967038064
246	0.3965113643
247	0.3963444216
248	0.3961558414
249	0.3959633621
250	0.3957580862
251	0.395654307
252	0.3954888371
253	0.3953525215
254	0.3951907496
255	0.3948961605
256	0.3946864114
257	0.3945450382
258	0.3942910337
259	0.3940790021
260	0.3939367465
261	0.3937904392
262	0.3936322449
263	0.3934174497
264	0.3931777264
265	0.393020791
266	0.3928711035
267	0.3927305671
268	0.3925799444
269	0.3923808373
270	0.3922084846
271	0.3921374149
272	0.3919513475
273	0.3918000654
274	0.3916812807
275	0.3914113769
276	0.3912367815
277	0.3909855592
278	0.3908635407
279	0.3906494195
280	0.3905214176
281	0.3903777762
282	0.3902957561
283	0.3901867592
284	0.3900425838
285	0.3898792333
286	0.3897730056
287	0.38964584
288	0.3894599982
289	0.3892161807
290	0.3890492428
291	0.3888700237
292	0.3887335552
293	0.38852709
294	0.3882929836
295	0.3880869733
296	0.3878674775
297	0.3875761662
298	0.3873621076
299	0.3872250399
300	0.3871292569
301	0.3870199476
302	0.3869304809
303	0.3867821763
304	0.3865773118
305	0.3864128307
306	0.3863189458
307	0.3861437926
308	0.3859332348
309	0.385811054
310	0.3856842795
311	0.3854587317
312	0.385319575
313	0.3851886228
314	0.3850448002
315	0.3848202368
316	0.3846153487
317	0.3844461667
318	0.3842544539
319	0.3841739329
320	0.3840169807
321	0.3839014585
322	0.3837198136
323	0.3835757676
324	0.3834526952
325	0.3833085246
326	0.3832263203
327	0.3830947859
328	0.3829026399
329	0.382689768
330	0.3825595068
331	0.3824141018
332	0.382321182
333	0.3821476084
334	0.3820267807
335	0.3817799782
336	0.38155656
337	0.3814434986
338	0.3812288933
339	0.3810435049
340	0.3809226144
341	0.3807373041
342	0.3805577509
343	0.3804327659
344	0.3802982686
345	0.3801279805
346	0.3799496597
347	0.3797421333
348	0.3795390636
349	0.3793263183
350	0.3791021419
351	0.378937695
352	0.3788643094
353	0.3786531775
354	0.3785096529
355	0.3783597233
356	0.3782852935
357	0.378175796
358	0.3779036831
359	0.3777606874
360	0.3776054998
361	0.377389538
362	0.3772118426
363	0.3770161173
364	0.3768975065
365	0.3767509016
366	0.3766237624
367	0.3764735707
368	0.3763934309
369	0.3762436112
370	0.3760243071
371	0.3758378941
372	0.3756878761
373	0.3755838237
374	0.3754161381
375	0.3752508739
376	0.3750329697
377	0.3749097385
378	0.3747769558
379	0.3745423494
380	0.3743391212
381	0.3742435765
382	0.3740929415
383	0.3739402378
384	0.3737987409
385	0.3735886405
386	0.3734567346
387	0.3732658593
388	0.3731719833
389	0.3730541566
390	0.3729614137
391	0.3728431431
392	0.3726790087
393	0.3725349094
394	0.3723499934
395	0.3721772301
396	0.3719677133
397	0.3719101225
398	0.3717719991
399	0.3716234649
400	0.3714221412
401	0.3713197499
402	0.3712467983
403	0.3710418687
404	0.370793997
405	0.3706407578
406	0.3703854229
407	0.3702354774
408	0.3701076878
409	0.3698709415
410	0.3697039945
411	0.3695819887
412	0.3694877558
413	0.3693993765
414	0.369239787
415	0.3690885676
416	0.3688891276
417	0.3687306319
418	0.3685449713
419	0.3683344399
420	0.3682913363
421	0.3681681381
422	0.3679538015
423	0.3678506817
424	0.3677097948
425	0.3675271867
426	0.3673807218
427	0.3672821873
428	0.3671064758
429	0.3668486242
430	0.3666611126
431	0.3665335891
432	0.3663523398
433	0.3661961314
434	0.3661112397
435	0.3660045369
436	0.3658928275
437	0.3657057909
438	0.3656038299
439	0.365496275
440	0.36525431
441	0.3650616934
442	0.3649054443
443	0.3648362796
444	0.3646668214
445	0.3645208102
446	0.3643666201
447	0.3641932336
448	0.3640036445
449	0.3638671897
450	0.3637252988
451	0.3636129613
452	0.3634375016
453	0.3632731957
454	0.3630251045
455	0.3628686824
456	0.3627633856
457	0.3626224893
458	0.3624560827
459	0.3622839326
460	0.3621062318
461	0.3620165254
462	0.3618801673
463	0.3617248531
464	0.3615804224
465	0.3614885818
466	0.3613143938
467	0.3611245732
468	0.3610040131
469	0.3608153853
470	0.360716521
471	0.3605690101
472	0.3602751306
473	0.3601722653
474	0.3599996765
475	0.3598432347
476	0.3598124199
477	0.3597279441
478	0.3595283458
479	0.3594318562
480	0.3592490739
481	0.3590753351
482	0.3588968468
483	0.3588387305
484	0.3587041541
485	0.3585483974
486	0.358412732
487	0.358286678
488	0.3581661859
489	0.3580997145
490	0.3580053379
491	0.3578487133
492	0.357695593
493	0.3576081288
494	0.3574523225
495	0.3572979384
496	0.3571035688
497	0.3569399071
498	0.3568912594
499	0.3567895007
500	0.356694546
501	0.3565863157
502	0.3564700155
503	0.3562679118
504	0.356126408
505	0.3560217379
506	0.3558819338
507	0.3557026247
508	0.3555061174
509	0.3553578178
510	0.3552186207
511	0.3550800864
512	0.3550174771
513	0.3549040485
514	0.3547578925
515	0.354579874
516	0.3544598598
517	0.3542962666
518	0.3542088999
519	0.3541007615
520	0.3540225017
521	0.3538567801
522	0.3537059453
523	0.3535859337
524	0.3534074199
525	0.3532846961
526	0.3531498976
527	0.3530381128
528	0.3529072427
529	0.3527827797
530	0.3526752703
531	0.3525268068
532	0.3524486386
533	0.3522897808
534	0.3520957428
535	0.3520082944
536	0.3518638628
537	0.3517887129
538	0.3516711079
539	0.3515499168
540	0.3515059836
541	0.3513818909
542	0.3512689761
543	0.3511665804
544	0.3510354488
545	0.3508447919
546	0.3507435533
547	0.3506479654
548	0.3505194024
549	0.3503047694
550	0.3501373298
551	0.3500806936
552	0.3499210989
553	0.3496572856
554	0.3495088665
555	0.3493821008
556	0.3492993976
557	0.3492206865
558	0.3490942197
559	0.3489404883
560	0.3488630949
561	0.3487530893
562	0.3485829775
563	0.3483612395
564	0.3482028057
565	0.3479828553
566	0.3478739217
567	0.3477422974
568	0.3476483451
569	0.3475418598
570	0.3473717585
571	0.347226935
572	0.3471087283
573	0.3470318102
574	0.3469068756
575	0.3468169903
576	0.3467478527
577	0.3466023557
578	0.3465146273
579	0.3464490994
580	0.3463482086
581	0.3462545319
582	0.3461570914
583	0.3461239097
584	0.3460179416
585	0.3458871148
586	0.3457664082
587	0.3456235988
588	0.3454406317
589	0.3451989053
590	0.3450656942
591	0.3448923361
592	0.3448048061
593	0.3447096839
594	0.3445521272
595	0.3444669401
596	0.3443426123
597	0.3442067179
598	0.3440582263
599	0.3438980395
600	0.343738198
601	0.3435934141
602	0.343433467
603	0.3433880206
604	0.3432487936
605	0.3430784501
606	0.342951657
607	0.3428219895
608	0.3427553554
609	0.3426809491
610	0.3425111558
611	0.342328746
612	0.3421701568
613	0.3420520404
614	0.3420151606
615	0.3419184682
616	0.3417843395
617	0.3416189171
618	0.341482395
619	0.3413602115
620	0.3412121202
621	0.3410487438
622	0.340968483
623	0.340773179
624	0.3406083757
625	0.3404995549
626	0.3403800401
627	0.3402799153
628	0.3401883594
629	0.3400560361
630	0.3398737939
631	0.3397815102
632	0.3396920635
633	0.3395166574
634	0.3392339279
635	0.3390882739
636	0.338975601
637	0.3388272802
638	0.3386196917
639	0.338470424
640	0.3383840791
641	0.3383183511
642	0.338227005
643	0.3381479332
644	0.3380810483
645	0.3379546853
646	0.3378203759
647	0.3377131285
648	0.3375843295
649	0.3375247173
650	0.3374155167
651	0.3372509479
652	0.337218434
653	0.3369616047
654	0.3368160126
655	0.3367371992
656	0.3366630542
657	0.3365595543
658	0.3365084009
659	0.3364281315
660	0.3362690566
661	0.336159895
662	0.3360498188
663	0.3358834109
664	0.3357271179
665	0.3356395011
666	0.3355177459
667	0.3354287506
668	0.3352769378
669	0.3352025787
670	0.3350916186
671	0.3350261503
672	0.3349186304
673	0.3348299449
674	0.3346814422
675	0.3345344246
676	0.334377536
677	0.3342581845
678	0.3342289937
679	0.3341349561
680	0.3340592115
681	0.3339117534
682	0.3338208588
683	0.333661825
684	0.3336223775
685	0.3334640023
686	0.3333126773
687	0.333216431
688	0.3331393079
689	0.3330824456
690	0.3330021062
691	0.3328916169
692	0.332772658
693	0.3326567236
694	0.332543552
695	0.3324149338
696	0.3323231147
697	0.3322469427
698	0.3321019353
699	0.3319462304
700	0.3318233137
701	0.3316420606
702	0.3314860967
703	0.3314353286
704	0.3313336489
705	0.3311741746
706	0.331083999
707	0.3309580046
708	0.3308255184
709	0.3307279503
710	0.3305836629
711	0.3305162652
712	0.3304474005
713	0.3303201952
714	0.3302591134
715	0.3301117367
716	0.3300457823
717	0.329917441
718	0.3298250788
719	0.3297245141
720	0.3295941258
721	0.3294980041
722	0.3293882699
723	0.3292628209
724	0.3291602344
725	0.3289973682
726	0.3288900757
727	0.3287469641
728	0.3285526351
729	0.3284804098
730	0.3283554473
731	0.3282698887
732	0.3281796016
733	0.32805785
734	0.3279380118
735	0.3277677565
736	0.3275961304
737	0.3275005924
738	0.3273342743
739	0.3273120208
740	0.3272531355
741	0.3271434073
742	0.3270411702
743	0.3269479038
744	0.3268881408
745	0.3267393586
746	0.3266790969
747	0.3265134641
748	0.3264449082
749	0.3262952743
750	0.3262087777
751	0.3261172165
752	0.3260619025
753	0.3260025881
754	0.3258907548
755	0.3257529781
756	0.3256325184
757	0.3255260547
758	0.3254177108
759	0.3253115372
760	0.3251823798
761	0.3250423972
762	0.3248368875
763	0.3247849002
764	0.3246831685
765	0.3245825677
766	0.3245126225
767	0.3244250805
768	0.3242822643
769	0.3242332235
770	0.3241812766
771	0.3240319405
772	0.3239500705
773	0.3238704343
774	0.3237983643
775	0.323686
776	0.3235539825
777	0.3234405259
778	0.3233181914
779	0.3232235703
780	0.3231143637
781	0.3230201183
782	0.322932154
783	0.3228428818
784	0.3226929587
785	0.3226042035
786	0.3225464392
787	0.3224209547
788	0.3223023713
789	0.3221539409
790	0.3220848625
791	0.3219281345
792	0.321861898
793	0.3218074674
794	0.32173791
795	0.3216256839
796	0.3215420529
797	0.3215295593
798	0.321424556
799	0.3213844669
800	0.3212845015
801	0.3211418554
802	0.3210165618
803	0.3208723157
804	0.3207554277
805	0.3206561324
806	0.3206384872
807	0.3205153117
808	0.3204297302
809	0.320251111
810	0.3201820418
811	0.3200463078
812	0.3198886936
813	0.3198029557
814	0.3196990017
815	0.3195351303
816	0.3195031108
817	0.3193743656
818	0.3192463205
819	0.3192291364
820	0.3190731963
821	0.3189333217
822	0.3188848809
823	0.3187614767
824	0.3186890089
825	0.3186767424
826	0.3186120939
827	0.3185615123
828	0.3184418598
829	0.3183245676
830	0.31819016
831	0.3180926621
832	0.317937018
